SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT890,10010,10999,10451,10092,10636,10081,9976,9539,9769,14234,6032,4640,6.3,0.03,0.1,148,2.5,349,44,1.5674,1.2,1.4766,3.1,0.3878
OOT894,4049,2744,2858,2668,3336,4643,5100,5080,5314,9072,3832,2959,6.4,0.03,0.32,226,1.1,569,23,0.9681,0.1,0.7383,2.4,0.6925
OOT904,6231,5480,5241,5066,5478,5748,5948,5811,6010,9313,5137,4524,6.28,0.1,0.01,25,24,56,21,0.9681,11,3.21,4.3,0.554
OOT730,1350,1361,1578,1411,1969,3482,3867,3870,4088,3987,2846,1954,6.38,0.41,0.486,210,6.49,786.2,58.86,2.24046,3.815,0.73188,3.5,0.59278
OOT992,1820,1911,2191,2141,2491,2865,3060,3058,3167,4809,3018,2455,6.5,0.03,0.1,127,24,222,22,1.5674,1.1,0.7383,2.4,0.3601
OOT892,9169,7809,7527,7362,7536,7786,8150,7491,8138,3189,5881,4470,6.3,0.05,0.6,348,11,222,22,3.5958,0,1.2198,1.8,0.5817
OOT981,7629,7565,7162,6957,7380,7183,7222,7014,7212,10695,6336,5572,6.52,0.4,0.15,127,24,843,23,1.844,1.1,1.4766,1.1,0.554
OOT896,3842,2161,2124,2034,2306,2734,2908,2892,2972,7271,2481,2102,4.89,0.08,0.8,560,92,77,32,15.674,0.5,1.8618,28,4.986
OOT898,1680,1754,2002,1891,2543,4118,4736,4733,4959,5579,3626,2530,6.27,0.03,0.34,221,12,146,12,2.8121,5.2,4.173,6.3,2.3545
OOT898,1680,1754,2002,1891,2543,4118,4736,4733,4959,5579,3626,2530,6.27,0.03,0.34,221,12,146,12,2.8121,5.2,4.173,6.3,2.3545
OOT913,1905,2387,2662,2495,3319,5018,5603,5635,5847,6364,4211,3014,6.65,0.09,0.9,160,14,67,11,4.5178,8.4,2.9211,3.2,0.3047
OOT896,3842,2161,2124,2034,2306,2734,2908,2892,2972,7271,2481,2102,4.89,0.08,0.8,560,92,77,32,15.674,0.5,1.8618,28,4.986
OOT893,3747,3852,3784,3593,4107,4915,5254,5203,5364,8137,4269,3830,6.3,0.03,0.5,221,199,334,29,10.142,11.1,0.7062,1.1,1.2742
OOT899,7333,6218,6076,5911,6128,6548,6960,6415,7011,2599,5226,4073,4.8,0.4,0.32,127,12,12,53,2.2589,1.3,0.7383,1.1,0.7202
OOT902,5530,5394,5339,5222,5761,6290,6548,6384,6598,9015,5398,4758,6.4,0.1,0.23,235,2.5,843,4.75,3.688,1.1,2.7285,6,0.5817
OOT198,4167,3845,3773,3622,4009,4610,4972,4779,5088,6476,4190,3801,6.34,0.4,0.16,315,17,327,1.2,0.62696,1.23,0.6741,2.4,0.3601
OOT901,5703,4891,4978,4848,5549,6499,6834,6592,6873,10179,5124,4091,6.83,0.12,0.12,220,19,365,1.5,3.1809,2.5,1.2519,3.5,0.77837
OOT903,4664,5551,5405,5223,5703,6206,6472,6295,6552,8356,5164,4472,5.95,0.07,0.32,127,27,12,23,5.071,3.9,3.852,4.3,0.3601
OOT891,9078,10284,9780,9454,10021,9536,9409,9136,9251,14115,5994,4645,6.3,0.05,0.23,235,11,222,23,0.9681,1.1,1.4766,1.1,0.3601
OOT895,7038,3134,3254,3262,3822,4498,4774,4627,4889,13075,4205,3402,6.3,0.05,0.6,348,11,222,22,3.5958,0,1.2198,1.8,0.5817
OOT897,1961,2024,2312,2490,2993,3625,3926,3868,4082,4370,4059,3159,5.92,0.03,0.6,258,65,146,11.3,0.6454,2.4,0.6741,0.6,0.3601
OOT993,2171,1985,2109,1963,2481,3571,3965,3978,4184,5455,3213,2436,6.3,0.05,0.23,227,24,12,23,0.9681,1.1,0.6741,1.8,0.6925
OOT900,9348,10152,9736,9466,9996,9742,9785,9466,9702,12944,7217,5709,6.3,0.19,0.73,282,10,185,5,2.7199,1.8,6.2595,1,1.3573
OOT905,4893,4286,4210,3992,4512,5474,5897,5760,6006,9311,4185,3416,6.28,0.1,0.01,25,24,56,21,0.9681,11,3.21,4.3,0.554
OOT001,3429,3139,3092,2955,3152,3675,4022,3917,4154,1893,2363,1997,7.18,0.08,0.6674,413,54,308.2,0.001,0.5532,0.001,0.0321,0.01,0.14958
OOT002,7461,7804,7137,6631,7152,6680,6463,6504,6300,15771,3591,3122,8.86,0.23,0.64647,323,196.4,4215,0.001,1.4752,0.001,3.4989,0.01,0.8864
